#meta full request: /calibration/alert/ahdc/time_offsets:21417:default:2025-04-11_12-22-13
#meta variation: default
#meta created: 2025-04-11 12:22:13
#meta run range: 21417 - inf.
#meta author: mpaolone

# Sector Layer Component t0 dt0 extra1 extra2 chi2ndf

#& sector layer component t0 dt0 extra1 extra2 chi2ndf
1 22 7 217.145 14.3034 0.0 0.0 1.93
1 22 8 216.8879 15.8327 0.0 0.0 1.48
1 22 9 216.5403 15.5696 0.0 0.0 1.38
1 22 10 233.7142 16.4610 0.0 0.0 1.63
1 22 11 235.7835 16.2091 0.0 0.0 1.73
1 22 12 225.2154 16.3974 0.0 0.0 1.48
1 22 13 219.2071 15.3950 0.0 0.0 1.86
1 22 14 217.0834 15.7854 0.0 0.0 1.76
1 22 15 218.5803 15.7418 0.0 0.0 1.72
1 22 16 226.9734 16.4098 0.0 0.0 1.31
1 22 17 227.4716 16.5414 0.0 0.0 1.66
1 22 18 227.8187 16.8388 0.0 0.0 1.58
1 22 19 226.4915 16.4012 0.0 0.0 1.46
1 22 20 216.8044 13.5264 0.0 0.0 2.04
1 22 21 217.4701 16.0090 0.0 0.0 1.81
1 22 22 218.7059 15.1898 0.0 0.0 1.82
1 22 23 221.8398 16.1365 0.0 0.0 1.31
1 22 24 220.613 15.7774 0.0 0.0 1.41
1 22 25 222.2015 16.5183 0.0 0.0 1.47
1 22 26 222.5712 16.0056 0.0 0.0 1.55
1 22 27 220.9285 15.5416 0.0 0.0 1.79
1 22 28 220.4386 15.2916 0.0 0.0 1.69
1 22 29 292.3472 18.4122 0.0 0.0 1.48
1 22 30 292.3472 0.0000 0.0 0.0 0.00
1 22 31 278.4791 17.0407 0.0 0.0 1.48
1 22 32 216.6936 14.9306 0.0 0.0 2.01
1 22 33 216.5349 15.4282 0.0 0.0 1.67
1 22 34 215.906 14.6731 0.0 0.0 1.68
1 22 35 222.7654 16.1825 0.0 0.0 1.53
1 22 36 223.6757 15.7100 0.0 0.0 1.63
1 22 37 223.2081 15.4106 0.0 0.0 1.66
1 22 38 220.0766 13.2071 0.0 0.0 1.87
1 22 39 220.7128 15.3628 0.0 0.0 1.60
1 22 40 225.4672 17.1065 0.0 0.0 4.62
1 22 41 273.9449 16.7871 0.0 0.0 1.51
1 22 42 291.6119 17.3036 0.0 0.0 1.37
1 22 43 251.7896 17.1704 0.0 0.0 1.62
1 22 44 259.6776 16.6151 0.0 0.0 1.52
1 22 45 224.9078 15.1748 0.0 0.0 1.90
1 22 46 220.0761 14.2697 0.0 0.0 1.84
1 22 47 221.3853 16.0692 0.0 0.0 1.50
1 22 48 221.7841 16.1693 0.0 0.0 1.40
1 22 49 223.7471 16.3721 0.0 0.0 1.34
1 22 50 220.762 16.0248 0.0 0.0 1.50
1 22 51 218.4153 15.4914 0.0 0.0 1.56
1 22 52 219.0518 15.6716 0.0 0.0 1.70
1 22 53 220.5989 14.8699 0.0 0.0 1.84
1 22 54 255.925 16.9956 0.0 0.0 1.35
1 22 55 268.4597 17.2372 0.0 0.0 1.40
1 22 56 248.1096 16.2100 0.0 0.0 1.47
1 31 1 220.3402 15.4863 0.0 0.0 1.51
1 31 2 222.6381 16.9039 0.0 0.0 3.46
1 31 3 221.1538 15.6911 0.0 0.0 1.41
1 31 4 216.1141 14.8880 0.0 0.0 1.46
1 31 5 218.9796 15.6139 0.0 0.0 1.58
1 31 6 219.6467 16.0146 0.0 0.0 1.49
1 31 7 246.8571 17.5693 0.0 0.0 1.98
1 31 8 220.3472 15.8538 0.0 0.0 1.74
1 31 9 243.1 18.8819 0.0 0.0 1.81
1 31 10 220.0932 15.2156 0.0 0.0 1.58
1 31 11 219.839 15.1007 0.0 0.0 1.66
1 31 12 218.511 14.8424 0.0 0.0 1.63
1 31 13 222.8894 17.0354 0.0 0.0 1.73
1 31 14 225.4751 15.5930 0.0 0.0 1.54
1 31 15 219.3331 15.6097 0.0 0.0 1.33
1 31 16 226.0554 17.0299 0.0 0.0 1.46
1 31 17 221.9291 15.6984 0.0 0.0 1.86
1 31 18 219.7255 14.9416 0.0 0.0 1.71
1 31 19 222.9111 17.4318 0.0 0.0 1.98
1 31 20 216.6074 14.4388 0.0 0.0 1.87
1 31 21 217.7345 14.5411 0.0 0.0 2.01
1 31 22 217.6519 14.7740 0.0 0.0 2.17
1 31 23 222.4052 17.0660 0.0 0.0 1.65
1 31 24 221.6666 14.9387 0.0 0.0 1.90
1 31 25 218.1037 14.3676 0.0 0.0 2.02
1 31 26 218.9419 15.2068 0.0 0.0 1.61
1 31 27 218.6304 14.4764 0.0 0.0 1.87
1 31 28 216.5148 14.5678 0.0 0.0 1.77
1 31 29 217.1656 14.8237 0.0 0.0 1.42
